,carName,price,summary,options
0,2004 INFINITI FX35,"$3,000","
VIN: JNRAS08U94X111665
Full Style Name: 4dr 2WD
Mileage: 200,000 mi.
Tire Mileage: Over 30K mi.
Transmission: Automatic
Drive Type: Rear Wheel Drive
Engine: 280 HP @ 6200 RPM
6 cylinder, 3.5L
Fuel Economy: 17 MPG city
23 MPG highway
Doors: 4
Passengers: 5
Exterior:
White",none
1,2018 INFINITI QX60,"$32,999","
VIN: 5N1DL0MN3JC520316
Full Style Name: FWD
Mileage: 35,800 mi.
Tire Mileage: 5 to 10K mi.
Transmission: Automatic
Drive Type: Front Wheel Drive
Engine: 295 HP @ 6400 RPM
6 cylinder, 3.5L
Fuel Economy: 20 MPG city
27 MPG highway
22 MPG combined
Doors: 4
Passengers: 7
Exterior:
Blue","['Options', 'Graphite, Leather-Appointed Seats']"
2,2008 Toyota Yaris,"$3,500","
VIN: JTDBT923984029965
Full Style Name: 4dr Sedan Auto
Mileage: 224,000 mi.
Tire Mileage: Over 30K mi.
Transmission: Automatic
Drive Type: Front Wheel Drive
Engine: 106 HP @ 6000 RPM
4 cylinder, 1.5L
Fuel Economy: 29 MPG city
35 MPG highway
Doors: 4
Passengers: 5
Exterior:
Silver",none
3,2011 Toyota Camry,"$7,500","
VIN: 4T4BF3EK5BR139511
Trim: LE
Full Style Name: 4dr Sedan I4 Auto LE
Mileage: 125,000 mi.
Tire Mileage: 5 to 10K mi.
Transmission: Automatic
Drive Type: Front Wheel Drive
Engine: 169 HP @ 6000 RPM
4 cylinder, 2.5L
Fuel Economy: 22 MPG city
32 MPG highway
26 MPG combined
Doors: 4
Passengers: 5
Exterior:
Tan",none
4,2019 INFINITI QX60,"$31,000","
VIN: 5N1DL0MM8KC551263
Trim: PURE
Full Style Name: 2019.5 PURE AWD
Mileage: 55,300 mi.
Tire Mileage: Under 5K mi.
Transmission: Automatic
Drive Type: All Wheel Drive
Engine: 295 HP @ 6400 RPM
6 cylinder, 3.5L
Fuel Economy: 19 MPG city
26 MPG highway
22 MPG combined
Doors: 4
Passengers: 7
Exterior:
Gray",none
5,2003 Ford Explorer Sport,"$3,249","
VIN: 1FMZU70E23UB04286
Trim: XLS
Full Style Name: 2dr 102"" WB 4WD XLS Auto
Mileage: 135,000 mi.
Tire Mileage: Under 5K mi.
Transmission: Automatic
Drive Type: Four Wheel Drive
Engine: 203 HP @ 5250 RPM
6 cylinder, 4.0L
Fuel Economy: 15 MPG city
20 MPG highway
Doors: 2
Passengers: 5
Exterior:
Gold",none
6,2004 Isuzu Rodeo,"$3,079","
VIN: 4S2CK58Y844311192
Trim: S
Full Style Name: 4dr S 3.5L Auto
Mileage: 138,000 mi.
Tire Mileage: Under 5K mi.
Transmission: Automatic
Drive Type: Rear Wheel Drive
Engine: 250 HP @ 5600 RPM
6 cylinder, 3.5L
Fuel Economy: 18 MPG city
23 MPG highway
Doors: 4
Passengers: 5
Exterior:
Red",none
7,2015 Chevrolet Equinox,"$13,519","
VIN: 1GNALBEK6FZ108460
Trim: LT
Full Style Name: FWD 4dr LT w/1LT
Mileage: 83,663 mi.
Tire Mileage: Under 5K mi.
Transmission: Automatic
Drive Type: Front Wheel Drive
Engine: 182 HP @ 6700 RPM
4 cylinder, 2.4L
Fuel Economy: 22 MPG city
32 MPG highway
26 MPG combined
Doors: 4
Passengers: 5
Exterior:
Red",none
8,2021 Honda Civic Type R,"$47,000","
VIN: SHHFK8G77MU201356
Trim: Touring
Full Style Name: Touring Manual
Mileage: 7,500 mi.
Tire Mileage: 5 to 10K mi.
Transmission: Manual
Drive Type: Front Wheel Drive
Engine: 306 HP @ 6500 RPM
4 cylinder, 2.0L
Fuel Economy: 22 MPG city
28 MPG highway
25 MPG combined
Doors: 4
Passengers: 4
Exterior:
Gray",none
9,2021 Tesla Model 3,"$49,999","
VIN: 5YJ3E1EA5MF087438
Trim: Standard Range Plus
Full Style Name: Standard Range Plus RWD
Mileage: 222 mi.
Tire Mileage: Under 5K mi.
Transmission: Automatic
Drive Type: Rear Wheel Drive
Engine: See Specifications
Fuel Economy: 150 MPG city
133 MPG highway
142 MPG combined
Doors: 4
Passengers: 5
Exterior:
White",none
10,2019 INFINITI QX50,"$33,883","
VIN: 3PCAJ5M17KF117144
Trim: LUXE
Full Style Name: LUXE FWD
Mileage: 37,432 mi.
Tire Mileage: Over 30K mi.
Transmission: Automatic
Drive Type: Front Wheel Drive
Engine: 268 HP @ 5600 RPM
4 cylinder, 2.0L
Fuel Economy: 24 MPG city
31 MPG highway
27 MPG combined
Doors: 4
Passengers: 5
Exterior:
White",none
11,2015 Toyota Sienna,"$17,495","
VIN: 5TDKK3DC0FS559756
Trim: LE
Full Style Name: 5dr 8-Pass Van LE FWD
Mileage: 121,100 mi.
Tire Mileage: 10 to 20K mi.
Transmission: Automatic
Drive Type: Front Wheel Drive
Engine: 266 HP @ 6200 RPM
6 cylinder, 3.5L
Fuel Economy: 18 MPG city
25 MPG highway
21 MPG combined
Doors: 4
Passengers: 8
Exterior:
Red",none
12,2014 Mercedes-Benz GL-Class,"$28,909","
VIN: 4JGDF7DE5EA325027
Trim: GL 550
Full Style Name: 4MATIC 4dr GL 550
Mileage: 81,800 mi.
Tire Mileage: Under 5K mi.
Transmission: Automatic
Drive Type: All Wheel Drive
Engine: 429 HP @ 5250 RPM
8 cylinder, 4.7L
Fuel Economy: 13 MPG city
18 MPG highway
15 MPG combined
Doors: 4
Passengers: 7
Exterior:
Silver",none
13,2014 Mercedes-Benz CLA-Class,"$19,000","
VIN: WDDSJ4EB8EN136433
Trim: CLA 250
Full Style Name: 4dr Sedan CLA 250 FWD
Mileage: 58,115 mi.
Tire Mileage: 10 to 20K mi.
Transmission: Automatic
Drive Type: Front Wheel Drive
Engine: 208 HP @ 5500 RPM
4 cylinder, 2.0L
Fuel Economy: 26 MPG city
38 MPG highway
30 MPG combined
Doors: 4
Passengers: 5
Exterior:
Gray",none
14,2018 Ford F-150,"$33,441","
VIN: 1FTEW1C55JFB26726
Trim: LARIAT
Full Style Name: LARIAT 2WD SuperCrew 5.5' Box
Mileage: 110,459 mi.
Tire Mileage: Under 5K mi.
Transmission: Automatic
Drive Type: Rear Wheel Drive
Engine: 395 HP @ 5750 RPM
8 cylinder, 5.0L
Flex Fuel (E85) capable
Fuel Economy: 17 MPG city
23 MPG highway
19 MPG combined
Doors: 4
Passengers: 5
Exterior:
Red","['Max Trailer Tow Package', 'Lariat Special Edition Package']"
15,2018 Lexus NX,"$38,429","
VIN: JTJYARBZ0J2089961
Trim: NX 300 F Sport
Full Style Name: NX 300 F Sport FWD
Mileage: 27,500 mi.
Tire Mileage: 20 to 30K mi.
Transmission: Automatic
Drive Type: Front Wheel Drive
Engine: 235 HP @ 4800 RPM
4 cylinder, 2.0L
Fuel Economy: 22 MPG city
28 MPG highway
25 MPG combined
Doors: 4
Passengers: 5
Exterior:
Gray",none
16,2019 Mercedes-Benz C-Class,"$48,000","
VIN: WDDWK8DB9KF774381
Trim: C 300
Full Style Name: C 300 Cabriolet
Mileage: 29,000 mi.
Tire Mileage: 5 to 10K mi.
Transmission: Automatic
Drive Type: Rear Wheel Drive
Engine: 255 HP @ 5800 RPM
4 cylinder, 2.0L
Fuel Economy: 21 MPG city
29 MPG highway
24 MPG combined
Doors: 2
Passengers: 4
Exterior:
White","['Night Package', 'Parking Assistance Package']"
17,2012 Toyota Camry,"$10,359","
VIN: 4T1BK1FK1CU504034
Trim: SE
Full Style Name: 4dr Sedan V6 Auto SE
Mileage: 106,000 mi.
Tire Mileage: 20 to 30K mi.
Transmission: Automatic
Drive Type: Front Wheel Drive
Engine: 268 HP @ 6200 RPM
6 cylinder, 3.5L
Fuel Economy: 21 MPG city
30 MPG highway
25 MPG combined
Doors: 4
Passengers: 5
Exterior:
Black",none
18,2018 Land Rover Range Rover Velar,"$75,000","
VIN: SALYC2RV6JA702588
Trim: R-Dynamic SE
Full Style Name: P380 R-Dynamic SE
Mileage: 32,500 mi.
Tire Mileage: Under 5K mi.
Transmission: Automatic
Drive Type: Four Wheel Drive
Engine: 380 HP @ 6500 RPM
6 cylinder, 3.0L
Fuel Economy: 18 MPG city
24 MPG highway
20 MPG combined
Doors: 4
Passengers: 5
Exterior:
Gray","['Climate Package', 'Interior Premium Textile Package']"
19,2015 Chrysler 300,"$22,819","
VIN: 2C3CCAGG2FH905376
Trim: 300S
Full Style Name: 4dr Sedan 300S AWD
Mileage: 52,000 mi.
Tire Mileage: Under 5K mi.
Transmission: Automatic
Drive Type: All Wheel Drive
Engine: 300 HP @ 6350 RPM
6 cylinder, 3.6L
Fuel Economy: 18 MPG city
27 MPG highway
21 MPG combined
Doors: 4
Passengers: 5
Exterior:
Silver","['Engine: 3.6l V6 24v VVT', 'Transmission: 8-Speed Automatic 845re']"
20,2021 Toyota Tacoma 4WD,"$53,499","
VIN: 5TFCZ5AN8MX256751
Trim: TRD Pro
Full Style Name: TRD Pro Double Cab 5' Bed V6 AT
Mileage: 6,000 mi.
Tire Mileage: Under 5K mi.
Transmission: Automatic
Drive Type: Four Wheel Drive
Engine: 278 HP @ 6000 RPM
6 cylinder, 3.5L
Fuel Economy: 18 MPG city
22 MPG highway
20 MPG combined
Doors: 4
Passengers: 5
Exterior:
Gray",none
21,2013 Toyota Corolla,"$7,769","
VIN: 2T1BU4EE7DC972487
Trim: LE
Full Style Name: 4dr Sedan Auto LE
Mileage: 149,188 mi.
Tire Mileage: Over 30K mi.
Transmission: Automatic
Drive Type: Front Wheel Drive
Engine: 132 HP @ 6000 RPM
4 cylinder, 1.8L
Fuel Economy: 26 MPG city
34 MPG highway
29 MPG combined
Doors: 4
Passengers: 5
Exterior:
Red",none
22,2013 Nissan Versa,"$5,149","
VIN: 3N1CN7AP8DL864602
Trim: S Plus
Full Style Name: 4dr Sedan CVT 1.6 S Plus
Mileage: 123,000 mi.
Tire Mileage: Under 5K mi.
Transmission: Automatic
Drive Type: Front Wheel Drive
Engine: 109 HP @ 6000 RPM
4 cylinder, 1.6L
Fuel Economy: 31 MPG city
40 MPG highway
35 MPG combined
Doors: 4
Passengers: 5
Exterior:
Black",none
23,2008 Toyota Corolla,"$8,600","
VIN: 1NXBR32E38Z026195
Trim: CE
Full Style Name: 4dr Sedan Auto CE
Mileage: 53,400 mi.
Tire Mileage: 10 to 20K mi.
Transmission: Automatic
Drive Type: Front Wheel Drive
Engine: 126 HP @ 6000 RPM
4 cylinder, 1.8L
Fuel Economy: 26 MPG city
35 MPG highway
Doors: 4
Passengers: 5
Exterior:
Red",none
24,2021 Volkswagen Jetta GLI,"$35,000","
VIN: 3VW5T7BU8MM070562
Trim: Autobahn
Full Style Name: Autobahn Manual
Mileage: 3,300 mi.
Tire Mileage: Under 5K mi.
Transmission: Manual
Drive Type: Front Wheel Drive
Engine: 228 HP @ 5000 RPM
4 cylinder, 2.0L
Fuel Economy: 24 MPG city
33 MPG highway
28 MPG combined
Doors: 4
Passengers: 5
Exterior:
Black","['Wheels: 18"" Two-Tone Twin 5-Spoke Machined Alloy', 'Titan Black w/Red Stitch, Leather Seating Surfaces']"
25,2020 BMW 3 Series,"$50,000","
VIN: WBA5U7C0XLFH07493
Trim: M340i
Full Style Name: M340i Sedan
Mileage: 19,300 mi.
Tire Mileage: 10 to 20K mi.
Transmission: Automatic
Drive Type: Rear Wheel Drive
Engine: 382 HP @ 5000 RPM
6 cylinder, 3.0L
Fuel Economy: 22 MPG city
30 MPG highway
25 MPG combined
Doors: 4
Passengers: 5
Exterior:
White","['Wheels: 19"" X 8"" Dble-Spoke Bi-Color (Style 793i)', 'Mocha w/Contrast Stitch, Vernasca Leather Upholstery']"
26,2008 INFINITI FX35,"$8,003","
VIN: JNRAS08U38X101526
Full Style Name: RWD 4dr
Mileage: 153,271 mi.
Tire Mileage: 20 to 30K mi.
Transmission: Automatic
Drive Type: Rear Wheel Drive
Engine: 275 HP @ 6200 RPM
6 cylinder, 3.5L
Fuel Economy: 15 MPG city
22 MPG highway
Doors: 4
Passengers: 5
Exterior:
Silver",none
27,2020 Dodge Challenger,"$29,949","
VIN: 2C3CDZAG8LH143168
Trim: SXT
Full Style Name: SXT RWD
Mileage: 18,000 mi.
Tire Mileage: 10 to 20K mi.
Transmission: Automatic
Drive Type: Rear Wheel Drive
Engine: 305 HP @ 6350 RPM
6 cylinder, 3.6L
Fuel Economy: 19 MPG city
30 MPG highway
23 MPG combined
Doors: 2
Passengers: 5
Exterior:
Black","['Options', 'Engine: 3.6l V6 24v VVT']"
28,2013 Ford Edge,"$18,739","
VIN: 2FMDK3KC2DBB52866
Trim: Limited
Full Style Name: 4dr Limited FWD
Mileage: 2,850 mi.
Tire Mileage: Under 5K mi.
Transmission: Automatic
Drive Type: Front Wheel Drive
Engine: 285 HP @ 6500 RPM
6 cylinder, 3.5L
Fuel Economy: 19 MPG city
27 MPG highway
22 MPG combined
Doors: 4
Passengers: 5
Exterior:
Red","['3.5l TI-VCT V6 Engine', '6-Speed Automatic Transmission']"
29,2007 Chrysler Aspen,"$9,515","
VIN: 1A8HX582X7F580424
Trim: Limited
Full Style Name: 2WD 4dr Limited
Mileage: 198 mi.
Tire Mileage: Under 5K mi.
Transmission: Automatic
Drive Type: Rear Wheel Drive
Engine: 345 HP @ 5400 RPM
8 cylinder, 5.7L
Fuel Economy: 15 MPG city
20 MPG highway
Doors: 4
Passengers: 7
Exterior:
Blue","['5.7l V8 Hemi Multi-Displacement Engine', '5-Speed Automatic Transmission']"
30,2019 Tesla Model X,"$104,129","
VIN: 5YJXCBE47KF185455
Trim: Performance
Full Style Name: Performance AWD w/Ludicrous Mode (Limited Availability)
Mileage: 15,300 mi.
Transmission: Automatic
Drive Type: All Wheel Drive
Engine: See Specifications
Fuel Economy: See Specifications
Doors: 4
Passengers: 7
Exterior:
White",none
